"구분","출처","상황","문장","라벨"
"정상","gpt","기관 안내","안녕하세요 고객님, 문의하신 계좌 관련 내용은 가까운 지점 방문 후 확인이 가능합니다.","0"
"정상","gpt","공공기관 안내","안녕하세요, 고객님의 개인정보 보호를 위해 전화로는 상세 안내가 어렵습니다. 공식 홈페이지를 참고 부탁드립니다.","0"
"정상","gpt","일상 대화","배가 고프다","0"
"정상","gpt","일상 대화","이제 집에 가자","0"
"정상","gpt","배송 안내","고객님의 배송은 정상적으로 진행 중이며 자세한 내용은 택배사 앱에서 확인 가능합니다.","0"
"정상","gpt","결제 안내","고객님의 결제가 정상적으로 정상 처리되었습니다. 상세 내역은 앱에서 확인해주세요.","0"
"정상","gpt","결제 안내","[Web발신]20240501 노트북 구매 승인번호 (12345)로 결제가 완료되었습니다. 1,200,000원 이용해주셔서 감사합니다.","0"
"정상","gpt","고객 응대","문의하신 내용은 확인 후 신속히 안내드리겠습니다. 감사합니다.","0"
"정상","gpt","가족 대화","엄마 나 오늘 좀 늦을 것 같아. 도착하면 연락할게.","0"
"정상","gpt","공공기관 공지","금융 관련 사항은 반드시 공식 고객센터를 통해 확인하시기 바랍니다.","0"
"정상","gpt","기관 응대","안녕하세요, 문의 주신 사항은 담당 부서 확인 후 연락드리겠습니다.","0"
"정상","gpt","가족 메시지","엄마 나 친구랑 있다가 늦게 들어갈게.","0"
"정상","gpt","일상 대화","오늘 일정 끝나면 다시 연락할게.","0"
"정상","gpt","업무 안내","회의는 오후 2시에 예정되어 있습니다.","0"
"정상","gpt","기관 안내","해당 사건 관련 문의는 공식 절차를 통해 접수해주시기 바랍니다.","0"
"정상","gpt","서비스 안내","앱 설치는 반드시 공식 앱스토어를 통해 진행해 주세요.","0"
"정상","gpt","SNS 대화","안녕하세요, 관심 있으시면 메시지 부탁드립니다.","0"
"정상","gpt","결제 안내","결제가 완료되어 영수증이 이메일로 발송되었습니다. 앱에서도 확인 가능합니다.","0"
"정상","gpt","일상 대화","지금 바로 출발할게. 조금 늦을 수도 있어.","0"
"정상","gpt","기관 안내","문의하신 내용은 시스템 확인 후 순차적으로 답변드릴 예정입니다.","0"
"보이스피싱","경찰청 인천광역시경찰청, 경찰청 인천광역시경찰청_보이스피싱 예방 동영상_20240101, 2024","기관 사칭","oo중앙지검입니다. 고객님 명의로 대포통장이 확인되었습니다. 경찰청 사이버수사대입니다. ooo님 맞으십니까?","1"
"스미싱","경찰청 인천광역시경찰청, 경찰청 인천광역시경찰청_보이스피싱 예방 동영상_20240101, 2024","배송 사칭","고객님의 배송지가 누락되어 확인이 필요하여 연락드립니다.","1"
"스미싱","경찰청 인천광역시경찰청, 경찰청 인천광역시경찰청_보이스피싱 예방 동영상_20240101, 2024","결제 사칭","498,000원이 결제되었습니다. 확인을 원하시면 -","1"
"스미싱","경찰청 인천광역시경찰청, 경찰청 인천광역시경찰청_보이스피싱 예방 동영상_20240101, 2024","결제 사칭","[Web발신] 20190424 아이패드 승인번호 (19825) 주문이 완료되었습니다. 468,200원 결제되었습니다. 이후 수사관이 연락할 예정이니 협조 부탁드립니다.","1"
"보이스피싱","경찰청 전라북도경찰청, 경찰청 전라북도경찰청_보이스피싱 피해 예방 영상_20240822, 2024","가족 사칭","딸, 지금 통화 가능하니?","1"
"보이스피싱","경찰청 전라북도경찰청, 경찰청 전라북도경찰청_보이스피싱 피해 예방 영상_20240822, 2024","가족 사칭","아빠가 교통사고로 수술이 필요해서 돈을 좀 보낼 수 있을까?","1"
"보이스피싱","경찰청 전라북도경찰청, 경찰청 전라북도경찰청_보이스피싱 피해 예방 영상_20240822, 2024","가족 사칭","300만원 정도 급하게 필요해. 돈 보냈어?","1"
"보이스피싱","경찰청 전라북도경찰청, 경찰청 전라북도경찰청_보이스피싱 피해 예방 영상_20240822, 2024","가족 사칭","엄마가 정말 미안해.","1"
"페이퍼 피싱","경찰청 경기도북부경찰청, 경찰청 경기도북부경찰청_보이스피싱 근절 홍보 영상_20230630, 2023","기관 사칭 편지","제목: 금융범죄 계좌 추적 민원 1. 귀하의 금융 계좌 추적 민원 <2023조사8820> 관련 답변입니다.","1"
"페이퍼 피싱","경찰청 경기도북부경찰청, 경찰청 경기도북부경찰청_보이스피싱 근절 홍보 영상_20230630, 2023","기관 사칭 편지","2. 금융감독원 지침에 따라 해당 사건은 지방검찰청 수사관에게 계좌추적이 가능하도록 조치되었습니다.","1"
"페이퍼 피싱","경찰청 경기도북부경찰청, 경찰청 경기도북부경찰청_보이스피싱 근절 홍보 영상_20230630, 2023","기관 사칭 편지","3. 귀하의 계좌를 통해 대포통장 및 불법 자금 여부를 조사할 예정입니다.","1"
"페이퍼 피싱","경찰청 경기도북부경찰청, 경찰청 경기도북부경찰청_보이스피싱 근절 홍보 영상_20230630, 2023","기관 사칭 편지","계좌 추적 후 불법 자금이 확인될 경우 계좌 동결 및 국고 환수 조치가 이루어질 수 있습니다.","1"
"페이퍼 피싱","경찰청 경기도북부경찰청, 경찰청 경기도북부경찰청_보이스피싱 근절 홍보 영상_20230630, 2023","기관 사칭 편지","4. 금융감독원은 금융법에 따라 보안 계좌 코드를 발급하여 자산 보호를 진행할 예정입니다.","1"
"페이퍼 피싱","경찰청 경기도북부경찰청, 경찰청 경기도북부경찰청_보이스피싱 근절 홍보 영상_20230630, 2023","기관 사칭 편지","5. 피해 입증 시 금융 자산 보호 신청서가 발급되며 추가 피해 시 보상이 가능하다고 안내드립니다.","1"
"페이퍼 피싱","경찰청 경기도북부경찰청, 경찰청 경기도북부경찰청_보이스피싱 근절 홍보 영상_20230630, 2023","기관 사칭 편지","6. 기타 문의 사항은 금융감독원 담당 검사에게 문의 바랍니다.","1"
"페이퍼 피싱","경찰청 경기도북부경찰청, 경찰청 경기도북부경찰청_보이스피싱 근절 홍보 영상_20230630, 2023","기관 사칭 편지","(담당관 차석인 검사: 000 - 1111 - 1111)","1"
"보이스피싱","경찰청 경기도북부경찰청, 경찰청 경기도북부경찰청_보이스피싱 근절 홍보 영상_20230630, 2023","기관 사칭","특별 수사실 ooo 검사입니다. 맞으시죠.","1"
"보이스피싱","경찰청 경기도북부경찰청, 경찰청 경기도북부경찰청_보이스피싱 근절 홍보 영상_20230630, 2023","기관 사칭","특별 수사실 ooo 검사입니다. 확인하셨죠.","1"
"보이스피싱","경찰청 경기도북부경찰청, 경찰청 경기도북부경찰청_보이스피싱 근절 홍보 영상_20230630, 2023","기관 사칭","지금 장난하시는 겁니까? 이전에 그런 식으로 대응한 분들은 모두 처벌받았습니다.","1"
"보이스피싱","경찰청 경기도북부경찰청, 경찰청 경기도북부경찰청_보이스피싱 근절 홍보 영상_20230630, 2023","기관 사칭","대답하세요! 검사가 한가한 줄 아십니까?","1"
"보이스피싱","경찰청 강원특별자치도경찰청, 경찰청 강원특별자치도경찰청_보이스피싱 공익광고_20240801, 2024","기관 사칭","서민철 명의도용 사건이며 담당 검사에게 연결해 드리겠습니다.","1"
"보이스피싱","경찰청 강원특별자치도경찰청, 경찰청 강원특별자치도경찰청_보이스피싱 공익광고_20240801, 2024","기관 사칭","서울중앙지검 박검사입니다.","1"
"보이스피싱","경찰청 강원특별자치도경찰청, 경찰청 강원특별자치도경찰청_보이스피싱 공익광고_20240801, 2024","기관 사칭","현재 수사 중이며 귀하 계좌 사용 내역이 확인되었습니다. 설명해보시겠습니까?","1"
"보이스피싱","경찰청 강원특별자치도경찰청, 경찰청 강원특별자치도경찰청_보이스피싱 공익광고_20240801, 2024","기관 사칭","지금부터 안내에 따라야만 정상적으로 소명됩니다.","1"
"보이스피싱","경찰청 강원특별자치도경찰청, 경찰청 강원특별자치도경찰청_보이스피싱 공익광고_20240801, 2024","기관 사칭","앱 설치 후 인증번호를 알려주세요.","1"
"몸캠피싱","경찰청 강원특별자치도경찰청, 경찰청 강원특별자치도경찰청_보이스피싱 공익광고_20240801, 2024","몸캠 피싱","프로필 사진인데 관심 있으면 같이 놀아볼래?","1"
"몸캠피싱","경찰청 강원특별자치도경찰청, 경찰청 강원특별자치도경찰청_보이스피싱 공익광고_20240801, 2024","몸캠 피싱","내 영상 보낼게, 너도 영상 보내줘.","1"
"몸캠피싱","경찰청 강원특별자치도경찰청, 경찰청 강원특별자치도경찰청_보이스피싱 공익광고_20240801, 2024","몸캠 피싱","영상이 안 보이면 이 파일을 설치해봐.","1"
